Company,ethical_fashion_brand_score,Policies&Governance_Score(out of 6),Does the company have a Code of Conduct for suppliers?,Does the Code apply to multiple levels of the supply chain including the raw materials level?,"Does the company publicly disclose that it has a designated senior officer accountable for implementation, and a board committee/process tasked with oversight of its supply chain policies that address human rights and environmental sustainability?",Tracing&Risk_score(all stage Production ),environmental_sustainability_score(score_out_of_21),Has the company assessed the environmental impact of its top three fibres and materials used in its apparel products and implemented learnings from assessment into product design and production?,What percentage of the company's final product is made from sustainable fibers?,Has the company published an emissions reduction target and decarbonisation strategy in line with the current UN Fashion Industry Charter for Climate Action?,product_category
Brand Collective (Apparel),7,2,Partial,No,No,2,0,No,1-25%,No,general
Brand Collective (Footwear),20,5,Yes,Partial,Partial,5,2,No,1-25%,No,footwear
Brandbank,31,4,Partial,Yes,Partial,7,6,Partial,26-50%,No,general
Carhartt-WIP,13,3,Partial,Partial,Partial,2,3,Partial,26-50%,No,general
City Beach,3,2,Partial,No,No,0,0,No,0%,No,general
City Chic Collective,40,6,Yes,Partial,Yes,13,4,Partial,1-25%,No,general
Cotton On Group,45,3,Partial,Yes,No,11,11,Partial,51-75%,Yes,general
Country Road Group,50,6,Yes,Yes,Yes,12,12,Yes,51-75%,Partial,general
Crocs,23,5,Yes,No,Yes,7,7,Partial,0%,Partial,general
Cue Clothing Co.,17,2,Partial,No,No,5,0,No,1-25%,No,general
Culture Kings,9,3,Partial,No,Yes,2,0,No,1-25%,No,general
David Jones,41,6,Yes,Yes,Yes,9,8,Yes,1-25%,No,general
Decathlon,33,4,Partial,Partial,Yes,4,14,Yes,26-50%,Yes,general
Decjuba,21,4,Yes,Partial,No,7,4,Partial,26-50%,No,general
Decker Brands,41,4,Partial,Partial,Yes,12,12,Yes,26-50%,Partial,general
Dr Martens,37,5,Yes,No,Yes,10,12,Partial,26-50%,Yes,general
F21 OpCo LLC,2,2,Partial,No,No,0,0,No,0%,No,general
Factory X,49,6,Yes,Yes,Partial,11,12,Partial,51-75%,Yes,general
Fila,16,5,Yes,No,Yes,4,4,Partial,1-25%,No,general
Forever New,60,6,Yes,Yes,Yes,12,12,Yes,76-99%,No,general
Fruit of the Loom,30,5,Yes,Partial,Yes,8,5,Partial,1-25%,Partial,general
Gap INC,45,5,Yes,Partial,Yes,10,15,Yes,26-50%,Yes,general
General Pants Group,3,0,No,No,No,2,0,No,0%,No,general
Ghanda,0,0,No,No,No,0,0,No,0%,No,general
Gildan Activewear,50,6,Yes,Yes,Yes,9,13,Partial,26-50%,Partial,general
Globe International Limited,16,5,Yes,No,Yes,4,3,No,1-25%,No,general
Gymshark,39,5,Yes,Partial,Yes,12,7,Partial,51-75%,Partial,general
H&M,57,4,Partial,Yes,Yes,11,19,Yes,76-99%,Yes,general
Hallenstein Glasson Holdings,49,6,Yes,Partial,Yes,9,13,Yes,26-50%,Partial,general
HanesBrands,64,6,Yes,Yes,Yes,12,19,Yes,51-75%,Yes,general
Hot Springs,21,4,Yes,No,Yes,7,0,No,1-25%,No,general
